------------------------------------------------------------------------------------------------------
[2016-05-25 12:42:59] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-25 12:42:59] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-05-25 12:43:10] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:01:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:06:00] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:08:10] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 14:14:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
