-----------------------------------------------------------------------------------------------------
[2016-10-27 02:06:23] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 02:06:23] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-32_late_uniform_1/
[2016-10-27 02:06:27] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:20:00] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:24:32] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:28:48] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:28:49] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:30:25] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:32:02] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
