------------------------------------------------------------------------------------------------------
[2016-10-27 07:46:23] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 07:46:23] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-128_late_uniform_1/
[2016-10-27 07:46:28] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:15:06] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:36:20] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:36:41] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:36:41] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:39:49] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 08:43:37] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
