------------------------------------------------------------------------------------------------------
[2016-05-31 01:09:20] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-31 01:09:20] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-05-31 01:09:32] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:25:27] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:26:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:26:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:26:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:26:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:26:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:31:12] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:32:22] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:32:39] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:33:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:34:20] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:40:03] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:40:03] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:40:03] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:49:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:49:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:49:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:49:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:49:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-31 02:51:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:53:30] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 02:53:47] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 03:03:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
