------------------------------------------------------------------------------------------------------
[2016-05-25 20:58:46] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-25 20:58:46] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-05-25 20:58:57] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:46:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:46:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:46:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:46:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-25 21:46:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:52:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:52:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-25 21:52:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:53:04] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:53:04] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:55:36] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:55:36] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:55:36] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:55:36] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:57:13] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:57:13] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 21:59:57] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 22:05:38] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
