------------------------------------------------------------------------------------------------------
[2016-10-27 09:36:23] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 09:36:23] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-10-27 09:36:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 10:40:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 10:40:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 10:40:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 10:40:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-27 10:40:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:19:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:19:08] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:19:08] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:19:52] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:20:33] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:20:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:21:21] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:25:13] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 11:31:54] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
