------------------------------------------------------------------------------------------------------
[2016-10-27 23:26:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 23:26:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-10-27 23:26:30] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 00:28:39] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:41:40] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:42:01] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:42:01] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:42:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:42:28] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:42:48] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:43:09] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:43:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:45:04] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:45:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:46:12] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 01:53:39] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 02:06:40] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
