------------------------------------------------------------------------------------------------------
[2016-05-25 22:10:13] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-25 22:10:13] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-05-25 22:10:25] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:50] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:14:50] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:16:30] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:16:30] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:16:30] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:28:15] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:28:15] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:28:47] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:30:34] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:30:34] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-25 23:37:09] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
