-------------------------------------------------------------------------------------------------------
[2016-10-29 19:11:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-29 19:11:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-10-29 19:11:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 21:13:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:40:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:40:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:40:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:40:37] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:40:49] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:41:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:41:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:41:42] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:41:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:42:05] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:42:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:42:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:43:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:45:11] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:45:27] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:47:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:47:09] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:48:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:48:40] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:48:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:49:03] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:49:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 23:50:11] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-30 00:05:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-30 00:31:46] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
