------------------------------------------------------------------------------------------------------
[2016-10-27 08:44:46] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 08:44:46] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-128_late_uniform_1/
[2016-10-27 08:44:51] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:06:18] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:28:07] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:28:22] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:28:44] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:31:27] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 09:35:13] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
