------------------------------------------------------------------------------------------------------
[2016-05-25 23:44:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-25 23:44:28] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-05-25 23:44:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:11] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:00:37] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:01:41] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:01:41] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:03:12] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:08:20] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:09:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:09:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:11:06] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:11:06] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-26 01:17:21] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
