------------------------------------------------------------------------------------------------------
[2016-10-27 11:33:02] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 11:33:02] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-10-27 11:33:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:00:32] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-27 13:00:32] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:00:32] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:00:32] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-27 13:00:32] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:41:36] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:41:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:42:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:42:20] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:42:30] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:43:40] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:44:21] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:44:43] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:47:41] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 13:54:21] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
