------------------------------------------------------------------------------------------------------
[2016-10-28 02:08:01] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 02:08:01] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-10-28 02:08:06] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 03:09:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:22:52] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:22:52] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:23:01] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:23:12] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:23:36] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:23:46] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:24:00] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:24:10] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:24:32] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:24:54] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:25:04] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:25:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:25:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:25:47] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:25:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:27:46] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:29:52] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:34:44] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 04:47:45] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
