-------------------------------------------------------------------------------------------------------
[2016-05-29 15:07:47] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-29 15:07:47] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-2048_late_uniform_1/
[2016-05-29 15:07:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 17:20:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:07:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:08:16] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:08:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:08:51] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:08:51] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:09:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:09:14] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:09:14] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:09:29] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:09:33] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:26] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:32] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:10:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:11:24] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:11:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:12:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:12:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:13:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:13:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:14:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:14:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:15:49] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:16:14] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:16:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:18:27] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:18:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:18:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:18:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 20:32:00] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 21:22:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
