-------------------------------------------------------------------------------------------------------
[2016-05-27 23:02:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-27 23:02:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-05-27 23:02:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:02:59] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:20:14] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:22:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:22:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:22:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:22:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:37:38] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:37:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:37:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:38:12] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:43:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:44:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:44:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:44:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:44:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:45:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:45:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:46:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 01:51:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
