-------------------------------------------------------------------------------------------------------
[2016-05-28 02:02:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-28 02:02:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-05-28 02:02:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:09:27] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:37:39] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:37:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:37:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:37:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:11] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:38:34] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:40:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:40:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:40:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:40:21] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:40:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:41:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 04:48:53] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
