------------------------------------------------------------------------------------------------------
[2016-10-28 07:31:03] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 07:31:03] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-10-28 07:31:08] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 08:33:47] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:45:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:45:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:45:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:45:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:45:51] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:46:16] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:46:23] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:46:41] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:46:48] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:47:31] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:47:34] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:47:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:49:00] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:49:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:50:07] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:53:14] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 09:57:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 10:10:19] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
