------------------------------------------------------------------------------------------------------
[2016-10-27 05:09:11] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 05:09:11] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-128_late_uniform_1/
[2016-10-27 05:09:15] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:16:27] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:38:18] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:38:28] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:38:40] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:38:49] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:41:41] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 07:45:26] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
