-------------------------------------------------------------------------------------------------------
[2016-10-28 10:11:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 10:11:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-10-28 10:12:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1][2016-10-28 12:54:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]

[2016-10-28 15:30:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:30:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:30:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:30:40] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:30:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:31:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:31:42] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:32:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:32:04] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:32:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:32:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:32:54] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:33:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:33:21] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:33:39] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:34:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:34:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:34:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:34:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:34:59] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:35:18] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:35:49] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:36:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:37:32] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:37:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:39:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:39:29] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:41:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:42:16] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:43:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 15:55:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 16:20:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
