-------------------------------------------------------------------------------------------------------
[2016-05-30 10:11:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-30 10:11:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-2048_late_uniform_1/
[2016-05-30 10:11:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 12:33:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:58] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-30 15:40:58] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:40:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:41:12] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:41:17] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:41:22] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:23] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:23] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:51] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:42:51] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:56:33] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:00] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:13] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:30] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:30] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:30] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:30] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:31] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:40] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:57:41] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:02] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:36] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:36] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:36] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 15:58:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 16:52:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
