------------------------------------------------------------------------------------------------------
[2016-10-27 13:55:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 13:55:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-10-27 13:55:56] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 14:36:06] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 14:36:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 14:36:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 14:36:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 14:36:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-27 14:36:07] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:17:52] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:18:17] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:18:27] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:18:59] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:19:02] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:19:21] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:19:24] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:19:47] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:20:09] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:20:57] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:24:04] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 15:30:47] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
