-----------------------------------------------------------------------------------------------------
[2016-10-27 02:33:02] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 02:33:02] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-32_late_uniform_1/
[2016-10-27 02:33:06] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:46:36] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:51:02] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:55:24] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:55:43] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:57:04] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:58:41] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
