-----------------------------------------------------------------------------------------------------
[2016-10-27 01:39:38] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 01:39:38] [scale 32; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-32_late_uniform_1/
[2016-10-27 01:39:42] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 01:53:09] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 01:57:41] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:02:06] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:02:06] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:03:46] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 02:05:23] [scale 32; binding late; distribution uniform; iteration 1; rerun 1]
