------------------------------------------------------------------------------------------------------
[2016-05-30 19:45:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-30 19:45:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-05-30 19:45:36] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:09:15] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:10:16] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:10:16] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:10:29] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:10:33] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:29:34] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:29:34] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:29:34] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:30:17] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:30:55] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 21:43:48] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
