-------------------------------------------------------------------------------------------------------
[2016-05-29 07:47:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-29 07:47:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-2048_late_uniform_1/
[2016-05-29 07:47:21] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 12:42:46] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:12:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:12:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:12:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:09] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:09] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:17:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:44] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:44] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:44] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:44] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:44] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:46] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:58] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:58] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:58] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:18:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:19:10] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:19:26] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:19:26] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:20:33] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:20:34] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:20:34] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:20:34] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:20:34] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:37] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:49] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:49] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:31:49] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:32:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:32:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 13:33:06] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-29 14:24:04] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
