-------------------------------------------------------------------------------------------------------
[2016-05-28 15:18:38] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-28 15:18:38] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-05-28 15:18:48] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 16:26:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:47:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:47:29] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:47:37] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:47:49] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:48:39] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:48:40] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:03] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:36] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:48] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:49:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:50:15] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 17:51:04] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 18:00:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 18:24:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
