------------------------------------------------------------------------------------------------------
[2016-10-27 03:26:01] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 03:26:01] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-128_late_uniform_1/
[2016-10-27 03:26:05] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 03:47:50] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:09:53] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:10:14] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:10:51] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:13:07] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:16:52] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
