-------------------------------------------------------------------------------------------------------
[2016-10-28 21:40:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 21:40:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-10-28 21:40:38] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 09:09:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:43:57] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:44:07] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:44:21] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:44:29] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:44:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:44:59] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:45:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:45:41] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:47:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:47:48] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:48:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:48:24] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:49:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:49:42] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:49:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:50:15] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:50:31] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:50:39] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:51:04] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:51:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:52:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:53:07] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:53:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:53:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:54:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:56:19] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 11:58:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 12:08:55] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 12:35:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
