-------------------------------------------------------------------------------------------------------
[2016-10-29 12:36:57] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-29 12:36:57] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-10-29 12:37:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:53] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:53] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 16:43:53] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 17:52:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:19:26] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:19:26] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:19:36] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:19:49] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:20:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:20:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:20:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:20:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:21:11] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:21:18] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:21:49] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:22:01] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:22:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:22:40] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:23:05] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:23:17] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:23:29] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:23:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:24:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:24:46] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:25:12] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:25:23] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:25:46] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:26:02] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:27:37] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:28:15] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:29:02] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:29:27] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:30:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:30:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:31:25] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:35:13] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:35:39] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 18:45:03] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-29 19:10:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
