------------------------------------------------------------------------------------------------------
[2016-10-27 20:44:30] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 20:44:30] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-10-27 20:44:35] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 21:48:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:00:34] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:00:51] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:00:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:01:18] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:01:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:01:41] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:01:45] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:04:19] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:12:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 23:25:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
