------------------------------------------------------------------------------------------------------
[2016-05-30 22:50:23] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-30 22:50:23] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-05-30 22:50:35] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:07:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:07:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:09:24] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:10:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:14:18] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:15:18] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:15:55] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:18:52] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:19:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:20:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:20:37] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:21:00] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:22:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:23:28] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:34:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:34:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:34:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-31 00:34:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:34:13] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-31 00:36:26] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:36:42] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:37:02] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:37:49] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-31 00:48:00] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
