------------------------------------------------------------------------------------------------------
[2016-10-27 17:09:56] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 17:09:56] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-10-27 17:10:00] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 19:47:42] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:29:41] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:29:58] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:30:04] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:30:16] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:30:29] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:33:31] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:34:15] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:35:56] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 20:42:48] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
