------------------------------------------------------------------------------------------------------
[2016-10-27 15:32:23] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 15:32:23] [scale 256; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-256_late_uniform_1/
[2016-10-27 15:32:27] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:12:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:12:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:12:51] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:55:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:55:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:55:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:55:49] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:55:58] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:56:34] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:57:18] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:57:53] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:58:37] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 16:59:29] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 17:01:10] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 17:08:47] [scale 256; binding late; distribution uniform; iteration 1; rerun 1]
