-------------------------------------------------------------------------------------------------------
[2016-10-28 16:22:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 16:22:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-10-28 16:22:05] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 18:21:36] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:47:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:47:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:47:41] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:47:45] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:48:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:48:44] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:49:06] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:49:30] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:49:30] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:49:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:49:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:50:22] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:50:42] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:51:08] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:51:35] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:51:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:51:58] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:52:20] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:53:10] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:53:28] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:53:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:54:00] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:57:32] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:57:51] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:57:54] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:59:03] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 20:59:56] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 21:01:07] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 21:03:09] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 21:04:05] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 21:13:05] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 21:38:52] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
