------------------------------------------------------------------------------------------------------
[2016-10-27 04:17:56] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-27 04:17:56] [scale 128; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-128_late_uniform_1/
[2016-10-27 04:18:01] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 04:39:18] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:01:35] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:01:53] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:01:53] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:02:36] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:02:55] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:04:27] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-27 05:08:18] [scale 128; binding late; distribution uniform; iteration 1; rerun 1]
