-------------------------------------------------------------------------------------------------------
[2016-05-28 10:31:32] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-28 10:31:32] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
[2016-05-28 10:31:50] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 11:43:30] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:33] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:34] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:34] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:08:34] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-28 13:18:12] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1]
-------------------------------------------------------------------------------------------------------
[2016-05-28 15:17:21] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-28 15:17:21] [scale 1024; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-1024_late_uniform_1/
